recall_prcntg90,1.00
recall_bottom_prcntg90,0.90
recall_prcntg20,0.45
recall_bottom_prcntg60,0.25
recall_bottom_prcntg40,0.15
recall_prcntg60,0.90
recall_prcntg40,0.75
recall_bottom_prcntg20,0.00
recall_prcntg80,1.00
recall_bottom_prcntg1,0.00
recall_bottom_prcntg5,0.00
recall_bottom_prcntg100,1.00
recall_prcntg1,0.05
recall_prcntg100,1.00
recall_prcntg5,0.05
recall_bottom_prcntg80,0.70
recall_prcntg30,0.60
recall_prcntg10,0.10
recall_bottom_prcntg50,0.25
recall_prcntg70,1.00
recall_bottom_prcntg10,0.00
recall_prcntg50,0.85
recall_bottom_prcntg70,0.40
recall_bottom_prcntg30,0.10
